lat,lng,duration,distance,city
-36.75341,174.738535,1140,13942,Auckland
-36.764715,174.733405,1022,12674,Auckland
-36.869384,174.824309,1007,9906,Auckland
-36.891195,174.819639,1045,9858,Auckland
-36.909774,174.757952,1097,9619,Auckland
-36.928187,174.748633,1177,17070,Auckland
-36.915052,174.630895,1694,17833,Auckland
-36.881081,174.730309,881,7924,Auckland
-36.883888,174.715602,855,7771,Auckland
-36.871341,174.746846,744,4516,Auckland
-36.888203,174.752066,986,8455,Auckland
-36.90574,174.734064,1078,13174,Auckland
-36.887579,174.732961,860,8076,Auckland
-36.844281,174.624435,1145,16275,Auckland
-36.874462,174.627128,1388,18010,Auckland
-36.878511,174.911347,1706,21905,Auckland
-36.888195,174.899659,1590,20662,Auckland
-36.89256,174.924516,1704,21733,Auckland
-36.906888,174.918129,1693,22007,Auckland
-36.726959,174.698001,1324,19945,Auckland
-36.794228,174.701224,1179,12072,Auckland
-36.908107,174.676174,1235,13260,Auckland
-36.884636,174.715537,877,7825,Auckland
-36.866223,174.758677,710,3238,Auckland
-36.922123,174.787964,1298,18973,Auckland
-36.908143,174.838595,1166,13005,Auckland
-36.869178,174.82674,1024,9898,Auckland
-36.851308,174.830563,754,7555,Auckland
-37.06526,174.943323,1957,34305,Auckland
-37.022488,174.899023,1557,26708,Auckland
-36.999136,174.87779,1422,24234,Auckland
-36.979706,174.854074,1496,21274,Auckland
-36.909307,174.677573,1348,12933,Auckland
-36.931649,174.675057,1465,16008,Auckland
-36.840413,174.652539,1110,14934,Auckland
-36.908556,174.942122,1892,23566,Auckland
-36.991711,174.758997,1679,28932,Auckland
-37.019107,174.863377,1848,30966,Auckland
-36.957728,174.804936,1433,22275,Auckland
-36.917653,174.887194,1307,17659,Auckland
-36.944234,174.894125,1436,21407,Auckland
