lat,lng,duration,distance,city
-36.75341,174.738535,1140,13942,Auckland
-36.764715,174.733405,1022,12674,Auckland
-36.869384,174.824309,1007,9906,Auckland
-36.891195,174.819639,1045,9858,Auckland
-36.909774,174.757952,1233,8277,Auckland
-36.928187,174.748633,1177,17070,Auckland
-36.915052,174.630895,1694,17833,Auckland
-36.881081,174.730309,881,7924,Auckland
-36.883888,174.715602,855,7771,Auckland
-36.871341,174.746846,744,4516,Auckland
-36.888203,174.752066,1089,6673,Auckland
-36.90574,174.734064,1078,13174,Auckland
-36.887579,174.732961,860,8076,Auckland
-36.844281,174.624435,1145,16275,Auckland
-36.874462,174.627128,1363,16923,Auckland
-36.878511,174.911347,2007,20897,Auckland
-36.888195,174.899659,1900,19901,Auckland
-36.89256,174.924516,2004,20725,Auckland
-36.906888,174.918129,1993,20999,Auckland
-36.726959,174.698001,1324,19945,Auckland
-36.794228,174.701224,1179,12072,Auckland
-36.908107,174.676174,1235,13260,Auckland
-36.884636,174.715537,877,7825,Auckland
-36.866223,174.758677,710,3238,Auckland
-36.922123,174.787964,1298,18973,Auckland
-36.908143,174.838595,1471,13532,Auckland
-36.869178,174.82674,1024,9898,Auckland
-36.851308,174.830563,754,7555,Auckland
-37.06526,174.943323,1900,33761,Auckland
-37.022488,174.899023,1827,27772,Auckland
-36.999136,174.87779,1692,25298,Auckland
-36.979706,174.854074,1895,23136,Auckland
-36.909307,174.677573,1166,12692,Auckland
-36.931649,174.675057,1465,16008,Auckland
-36.840413,174.652539,1110,14934,Auckland
-36.908556,174.942122,2192,22557,Auckland
-36.991711,174.758997,1679,28932,Auckland
-37.019107,174.863377,1927,29637,Auckland
-36.957728,174.804936,1433,22275,Auckland
-36.917653,174.887194,1699,17164,Auckland
-36.944234,174.894125,1705,22472,Auckland
