lat,lng,duration,distance,city
-41.072184,174.860037,5794,30016,Wellington
-41.15544,174.83548,2891,20149,Wellington
-41.178922,174.821848,2997,24473,Wellington
-41.129259,174.832848,2538,18437,Wellington
-41.254657,174.764082,1966,6117,Wellington
-41.213739,174.869182,2852,18139,Wellington
-41.215958,174.894373,1618,14193,Wellington
-41.215184,174.926403,2512,18512,Wellington
-41.14532,175.03054,4437,31825,Wellington
-41.155545,174.978026,5437,29307,Wellington
-41.282153,174.73967,1019,5274,Wellington
-41.281322,174.751049,727,4141,Wellington
-41.282902,174.760791,699,2164,Wellington
-41.269324,174.755727,1153,6219,Wellington
-41.262098,174.771132,939,3757,Wellington
-41.26471,174.781603,573,2367,Wellington
-41.275388,174.772378,718,1442,Wellington
-41.27542,174.76255,1543,3059,Wellington
-41.289481,174.75813,1185,4550,Wellington
-41.288417,174.764653,758,3039,Wellington
-41.292577,174.758859,1166,4054,Wellington
-41.283031,174.771004,670,1296,Wellington
-41.286901,174.773237,562,1792,Wellington
-41.295704,174.766499,844,2570,Wellington
-41.30436,174.777654,1528,3816,Wellington
-41.302029,174.773721,1101,2996,Wellington
-41.292637,174.786935,1047,2578,Wellington
-41.297614,174.787135,1051,2906,Wellington
-41.289274,174.802318,1365,4747,Wellington
-41.291374,174.794803,1037,3513,Wellington
-41.298913,174.803242,1716,6422,Wellington
-41.304154,174.794271,1024,3889,Wellington
-41.306631,174.763274,1296,4079,Wellington
-41.315654,174.769062,2232,6097,Wellington
-41.293995,174.745244,1649,7158,Wellington
-41.345142,174.768771,2815,8949,Wellington
-41.340982,174.785529,2529,9293,Wellington
-41.332269,174.782759,2277,7252,Wellington
-41.325314,174.832745,2451,11506,Wellington
-41.317875,174.818772,2132,8215,Wellington
-41.302651,174.820633,3439,12899,Wellington
-41.220619,174.807044,1503,9980,Wellington
-41.250606,174.774322,1330,5754,Wellington
-41.25122,174.794796,1712,8177,Wellington
-41.319761,174.798538,1599,6152,Wellington
-41.313123,174.783613,1546,5231,Wellington
-41.288732,174.72348,1103,6755,Wellington
-41.262277,174.947742,3660,25733,Wellington
-41.296066,174.776434,863,2237,Wellington
