lat,lng,duration,distance,city
-41.072184,174.860037,1522,27539,Wellington
-41.15544,174.83548,1098,17492,Wellington
-41.178922,174.821848,830,14493,Wellington
-41.129259,174.832848,1050,20397,Wellington
-41.254657,174.764082,583,5029,Wellington
-41.213739,174.869182,814,12882,Wellington
-41.215958,174.894373,805,13277,Wellington
-41.215184,174.926403,1037,17476,Wellington
-41.14532,175.03054,1492,27927,Wellington
-41.155545,174.978026,1389,24680,Wellington
-41.282153,174.73967,599,5165,Wellington
-41.281322,174.751049,464,3963,Wellington
-41.282902,174.760791,327,2304,Wellington
-41.269324,174.755727,562,4439,Wellington
-41.262098,174.771132,407,3061,Wellington
-41.26471,174.781603,274,1990,Wellington
-41.275388,174.772378,184,1056,Wellington
-41.27542,174.76255,552,3953,Wellington
-41.289481,174.75813,466,3765,Wellington
-41.288417,174.764653,470,3905,Wellington
-41.292577,174.758859,518,4293,Wellington
-41.283031,174.771004,317,2488,Wellington
-41.286901,174.773237,247,2180,Wellington
-41.295704,174.766499,589,4190,Wellington
-41.30436,174.777654,740,4140,Wellington
-41.302029,174.773721,699,3390,Wellington
-41.292637,174.786935,549,3026,Wellington
-41.297614,174.787135,640,3359,Wellington
-41.289274,174.802318,744,4719,Wellington
-41.291374,174.794803,581,3386,Wellington
-41.298913,174.803242,986,5923,Wellington
-41.304154,174.794271,750,4684,Wellington
-41.306631,174.763274,570,5226,Wellington
-41.315654,174.769062,913,5248,Wellington
-41.293995,174.745244,666,5535,Wellington
-41.345142,174.768771,1043,11059,Wellington
-41.340982,174.785529,1169,12630,Wellington
-41.332269,174.782759,1178,7501,Wellington
-41.325314,174.832745,1260,10436,Wellington
-41.317875,174.818772,1068,8176,Wellington
-41.302651,174.820633,1169,9390,Wellington
-41.220619,174.807044,603,8724,Wellington
-41.250606,174.774322,558,5174,Wellington
-41.25122,174.794796,747,6704,Wellington
-41.319761,174.798538,980,7330,Wellington
-41.313123,174.783613,889,6060,Wellington
-41.288732,174.72348,719,6532,Wellington
-41.262277,174.947742,1391,21702,Wellington
-41.296066,174.776434,609,2693,Wellington
