lat,lng,duration,distance,city
-41.072184,174.860037,1522,27539,Wellington
-41.15544,174.83548,1072,17743,Wellington
-41.178922,174.821848,1043,14349,Wellington
-41.129259,174.832848,1050,20397,Wellington
-41.254657,174.764082,583,5029,Wellington
-41.213739,174.869182,814,12882,Wellington
-41.215958,174.894373,805,13277,Wellington
-41.215184,174.926403,1076,17141,Wellington
-41.14532,175.03054,1731,28498,Wellington
-41.155545,174.978026,1389,24680,Wellington
-41.282153,174.73967,648,4931,Wellington
-41.281322,174.751049,513,3729,Wellington
-41.282902,174.760791,327,2304,Wellington
-41.269324,174.755727,562,4439,Wellington
-41.262098,174.771132,407,3061,Wellington
-41.26471,174.781603,274,1990,Wellington
-41.275388,174.772378,184,1056,Wellington
-41.27542,174.76255,552,3953,Wellington
-41.289481,174.75813,505,3641,Wellington
-41.288417,174.764653,541,3251,Wellington
-41.292577,174.758859,557,4169,Wellington
-41.283031,174.771004,317,2488,Wellington
-41.286901,174.773237,247,2180,Wellington
-41.295704,174.766499,685,3745,Wellington
-41.30436,174.777654,884,4525,Wellington
-41.302029,174.773721,821,3510,Wellington
-41.292637,174.786935,624,3103,Wellington
-41.297614,174.787135,734,3464,Wellington
-41.289274,174.802318,819,4796,Wellington
-41.291374,174.794803,675,3490,Wellington
-41.298913,174.803242,1054,6052,Wellington
-41.304154,174.794271,885,5051,Wellington
-41.306631,174.763274,885,5321,Wellington
-41.315654,174.769062,1034,5368,Wellington
-41.293995,174.745244,755,5513,Wellington
-41.345142,174.768771,1358,11153,Wellington
-41.340982,174.785529,1484,12725,Wellington
-41.332269,174.782759,1367,7456,Wellington
-41.325314,174.832745,1490,12653,Wellington
-41.317875,174.818772,1317,10420,Wellington
-41.302651,174.820633,1426,11791,Wellington
-41.220619,174.807044,817,8581,Wellington
-41.250606,174.774322,595,5450,Wellington
-41.25122,174.794796,784,6980,Wellington
-41.319761,174.798538,1254,9042,Wellington
-41.313123,174.783613,1152,5393,Wellington
-41.288732,174.72348,768,6298,Wellington
-41.262277,174.947742,1391,21702,Wellington
-41.296066,174.776434,730,2812,Wellington
