lat,lng,duration,distance,city
-43.58464,172.508897,2692,14898,Christchurch
-43.590017,172.569161,2620,10281,Christchurch
-43.602402,172.716853,2308,13803,Christchurch
-43.531238,172.530928,2404,11434,Christchurch
-43.514897,172.553727,1825,9288,Christchurch
-43.508775,172.574855,1396,7052,Christchurch
-43.489716,172.544442,1890,10326,Christchurch
-43.473698,172.617146,1535,7981,Christchurch
-43.444412,172.636998,2188,11951,Christchurch
-43.432633,172.650025,2155,13526,Christchurch
-43.473675,172.669969,2569,10534,Christchurch
-43.474927,172.702657,2061,13194,Christchurch
-43.485921,172.720845,2267,11734,Christchurch
-43.495385,172.710766,1948,11667,Christchurch
-43.506262,172.728909,1963,9033,Christchurch
-43.523699,172.732884,2248,10723,Christchurch
-43.51094,172.716877,1464,7574,Christchurch
-43.510391,172.701179,1965,7549,Christchurch
-43.500099,172.687728,1470,7164,Christchurch
-43.507975,172.662185,1011,4614,Christchurch
-43.497648,172.642873,907,4730,Christchurch
-43.508075,172.645916,1234,3743,Christchurch
-43.517584,172.659714,1085,3220,Christchurch
-43.517167,172.701524,1337,6170,Christchurch
-43.516633,172.687137,1893,6250,Christchurch
-43.533701,172.673108,872,3144,Christchurch
-43.547308,172.679055,1166,4542,Christchurch
-43.562376,172.675771,1305,6133,Christchurch
-43.549292,172.659849,1181,4443,Christchurch
-43.557992,172.636871,1139,3581,Christchurch
-43.567808,172.63492,1329,4550,Christchurch
-43.558384,172.619946,1371,4766,Christchurch
-43.57008,172.590763,2350,9496,Christchurch
-43.552464,172.568158,2736,8705,Christchurch
-43.53168,172.574332,1434,6484,Christchurch
-43.551946,172.51736,2962,11932,Christchurch
-43.543456,172.525506,2071,10996,Christchurch
-43.520093,172.533952,3114,14490,Christchurch
-43.576125,172.70372,1650,9026,Christchurch
-43.574413,172.763535,2465,13311,Christchurch
-43.512949,172.622398,795,3053,Christchurch
-43.541852,172.614271,809,3173,Christchurch
-43.531884,172.657639,645,1882,Christchurch
-43.563748,172.660022,1345,5349,Christchurch
-43.479607,172.700085,1941,11373,Christchurch
-43.516836,172.572088,1583,7532,Christchurch
-43.641843,172.47046,3322,23002,Christchurch
-43.58191,172.409637,3401,23609,Christchurch
-43.518595,172.590306,1297,5424,Christchurch
