lat,lng,duration,distance,city
-43.58464,172.508897,1217,15268,Christchurch
-43.590017,172.569161,1117,10492,Christchurch
-43.602402,172.716853,1126,11711,Christchurch
-43.531238,172.530928,1230,10755,Christchurch
-43.512321,172.508894,1369,12405,Christchurch
-43.514897,172.553727,1003,8980,Christchurch
-43.508775,172.574855,887,7501,Christchurch
-43.489716,172.544442,1074,9930,Christchurch
-43.473698,172.617146,783,7194,Christchurch
-43.444412,172.636998,1079,11196,Christchurch
-43.432633,172.650025,1099,12811,Christchurch
-43.473675,172.669969,922,8910,Christchurch
-43.474927,172.702657,1087,11221,Christchurch
-43.485921,172.720845,1099,11307,Christchurch
-43.495385,172.710766,953,8547,Christchurch
-43.506262,172.728909,948,8541,Christchurch
-43.523699,172.732884,942,9746,Christchurch
-43.51094,172.716877,841,7391,Christchurch
-43.510391,172.701179,813,6797,Christchurch
-43.500099,172.687728,769,7058,Christchurch
-43.507975,172.662185,561,4581,Christchurch
-43.497648,172.642873,550,4450,Christchurch
-43.508075,172.645916,444,3383,Christchurch
-43.517584,172.659714,477,3318,Christchurch
-43.517167,172.701524,725,5996,Christchurch
-43.516633,172.687137,656,5179,Christchurch
-43.533701,172.673108,497,3224,Christchurch
-43.547308,172.679055,623,4424,Christchurch
-43.562376,172.675771,702,5713,Christchurch
-43.549292,172.659849,546,3716,Christchurch
-43.557992,172.636871,655,4069,Christchurch
-43.567808,172.63492,792,6621,Christchurch
-43.558384,172.619946,688,4804,Christchurch
-43.57008,172.590763,959,8160,Christchurch
-43.552464,172.568158,962,8342,Christchurch
-43.53168,172.574332,993,7709,Christchurch
-43.551946,172.51736,1067,13684,Christchurch
-43.543456,172.525506,1220,10886,Christchurch
-43.520093,172.533952,1530,14770,Christchurch
-43.576125,172.70372,920,8611,Christchurch
-43.574413,172.763535,1485,13712,Christchurch
-43.512949,172.622398,439,2848,Christchurch
-43.541852,172.614271,528,3440,Christchurch
-43.531884,172.657639,334,1873,Christchurch
-43.563748,172.660022,662,4862,Christchurch
-43.479607,172.700085,1030,10604,Christchurch
-43.516836,172.572088,859,7075,Christchurch
-43.641843,172.47046,1551,22456,Christchurch
-43.58191,172.409637,1823,21282,Christchurch
-43.518595,172.590306,645,5034,Christchurch
