lat,lng,duration,distance,city
-36.75341,174.738535,2599,14079,Auckland
-36.764715,174.733405,2263,13636,Auckland
-36.869384,174.824309,985,6101,Auckland
-36.891195,174.819639,2114,9689,Auckland
-36.909774,174.757952,2982,15375,Auckland
-36.928187,174.748633,3134,19413,Auckland
-36.915052,174.630895,3970,23329,Auckland
-36.881081,174.730309,2085,9548,Auckland
-36.883888,174.715602,1662,10916,Auckland
-36.871341,174.746846,1355,7783,Auckland
-36.888203,174.752066,2565,9737,Auckland
-36.90574,174.734064,3098,17618,Auckland
-36.887579,174.732961,2495,10092,Auckland
-36.844281,174.624435,4368,26904,Auckland
-36.874462,174.627128,3194,24020,Auckland
-36.878511,174.911347,5210,18883,Auckland
-36.888195,174.899659,4804,17403,Auckland
-36.89256,174.924516,2870,20265,Auckland
-36.906888,174.918129,3484,20181,Auckland
-36.726959,174.698001,3709,20342,Auckland
-36.794228,174.701224,3052,12491,Auckland
-36.908107,174.676174,2605,15778,Auckland
-36.884636,174.715537,1686,10942,Auckland
-36.866223,174.758677,1290,6515,Auckland
-36.922123,174.787964,1800,13455,Auckland
-36.908143,174.838595,1995,14641,Auckland
-36.869178,174.82674,1218,6381,Auckland
-36.851308,174.830563,1593,7764,Auckland
-37.06526,174.943323,3211,31530,Auckland
-37.022488,174.899023,2800,25271,Auckland
-36.999136,174.87779,2855,26012,Auckland
-36.979706,174.854074,2286,22001,Auckland
-36.909307,174.677573,2421,15561,Auckland
-36.931649,174.675057,3537,19733,Auckland
-36.840413,174.652539,4016,21053,Auckland
-36.908556,174.942122,3707,23995,Auckland
-37.019107,174.863377,3180,23899,Auckland
-36.957728,174.804936,3230,17878,Auckland
-36.917653,174.887194,2365,16408,Auckland
-36.944234,174.894125,3440,24776,Auckland
