lat,lng,duration,distance,city
-41.072184,174.860037,5348,30376,Wellington
-41.15544,174.83548,2825,18830,Wellington
-41.178922,174.821848,2087,15453,Wellington
-41.129259,174.832848,3669,24402,Wellington
-41.254657,174.764082,1858,6047,Wellington
-41.213739,174.869182,2420,14228,Wellington
-41.215958,174.894373,2125,14378,Wellington
-41.215184,174.926403,3277,21195,Wellington
-41.14532,175.03054,5005,31501,Wellington
-41.155545,174.978026,3326,25570,Wellington
-41.282153,174.73967,1079,5179,Wellington
-41.281322,174.751049,755,4132,Wellington
-41.282902,174.760791,753,2085,Wellington
-41.269324,174.755727,1523,6039,Wellington
-41.262098,174.771132,1101,3508,Wellington
-41.26471,174.781603,750,2322,Wellington
-41.275388,174.772378,701,1604,Wellington
-41.27542,174.76255,1977,5697,Wellington
-41.289481,174.75813,732,2841,Wellington
-41.288417,174.764653,878,2632,Wellington
-41.292577,174.758859,1238,3348,Wellington
-41.283031,174.771004,846,887,Wellington
-41.286901,174.773237,736,1682,Wellington
-41.295704,174.766499,1415,2987,Wellington
-41.30436,174.777654,1503,3972,Wellington
-41.302029,174.773721,1351,3191,Wellington
-41.292637,174.786935,1238,2919,Wellington
-41.297614,174.787135,1105,3013,Wellington
-41.289274,174.802318,1545,5080,Wellington
-41.291374,174.794803,1203,3676,Wellington
-41.298913,174.803242,2029,6694,Wellington
-41.304154,174.794271,1162,3994,Wellington
-41.306631,174.763274,1518,4253,Wellington
-41.315654,174.769062,2657,6230,Wellington
-41.293995,174.745244,1533,6716,Wellington
-41.345142,174.768771,2798,11556,Wellington
-41.340982,174.785529,3028,9491,Wellington
-41.332269,174.782759,2189,7503,Wellington
-41.325314,174.832745,2545,11549,Wellington
-41.317875,174.818772,2103,8039,Wellington
-41.302651,174.820633,2559,12682,Wellington
-41.220619,174.807044,1669,9759,Wellington
-41.250606,174.774322,1242,5539,Wellington
-41.25122,174.794796,1776,8687,Wellington
-41.319761,174.798538,1713,6072,Wellington
-41.313123,174.783613,1942,5163,Wellington
-41.288732,174.72348,1251,6636,Wellington
-41.262277,174.947742,3742,25865,Wellington
-41.296066,174.776434,999,2330,Wellington
