lat,lng,duration,distance,city
-36.75341,174.738535,2453,13761,Auckland
-36.764715,174.733405,2143,13282,Auckland
-36.869384,174.824309,1051,6101,Auckland
-36.891195,174.819639,3084,9292,Auckland
-36.909774,174.757952,2478,9499,Auckland
-36.928187,174.748633,2833,11874,Auckland
-36.915052,174.630895,4533,25119,Auckland
-36.881081,174.730309,2462,7877,Auckland
-36.883888,174.715602,2526,9115,Auckland
-36.871341,174.746846,1939,5157,Auckland
-36.888203,174.752066,2417,7241,Auckland
-36.90574,174.734064,3296,10576,Auckland
-36.887579,174.732961,2696,7937,Auckland
-36.844281,174.624435,3150,17915,Auckland
-36.874462,174.627128,3850,20117,Auckland
-36.878511,174.911347,3441,18799,Auckland
-36.888195,174.899659,3383,17556,Auckland
-36.89256,174.924516,3695,20098,Auckland
-36.906888,174.918129,3936,21983,Auckland
-36.726959,174.698001,3322,23844,Auckland
-36.794228,174.701224,2284,12941,Auckland
-36.908107,174.676174,3856,14550,Auckland
-36.884636,174.715537,2460,9108,Auckland
-36.866223,174.758677,1170,3879,Auckland
-36.922123,174.787964,3562,12207,Auckland
-36.908143,174.838595,4076,23148,Auckland
-36.869178,174.82674,1254,6381,Auckland
-36.851308,174.830563,1591,7900,Auckland
-37.06526,174.943323,3153,30439,Auckland
-37.022488,174.899023,3421,25151,Auckland
-36.999136,174.87779,2641,21052,Auckland
-36.979706,174.854074,4652,32069,Auckland
-36.909307,174.677573,4115,14782,Auckland
-36.931649,174.675057,3667,17005,Auckland
-36.840413,174.652539,3132,16360,Auckland
-36.908556,174.942122,5694,26784,Auckland
-37.019107,174.863377,3686,26166,Auckland
-36.957728,174.804936,4803,25178,Auckland
-36.917653,174.887194,4884,20011,Auckland
-36.944234,174.894125,5747,27347,Auckland
