lat,lng,duration,distance,city
-36.75341,174.738535,2598,15994,Auckland
-36.764715,174.733405,2143,13282,Auckland
-36.869384,174.824309,1051,6101,Auckland
-36.891195,174.819639,2904,9292,Auckland
-36.909774,174.757952,2582,9854,Auckland
-36.928187,174.748633,2833,11874,Auckland
-36.915052,174.630895,4976,25718,Auckland
-36.881081,174.730309,2965,12564,Auckland
-36.883888,174.715602,2799,11098,Auckland
-36.871341,174.746846,1829,4507,Auckland
-36.888203,174.752066,2245,7451,Auckland
-36.90574,174.734064,3212,10576,Auckland
-36.887579,174.732961,2915,8104,Auckland
-36.844281,174.624435,3150,17915,Auckland
-36.874462,174.627128,3958,20320,Auckland
-36.878511,174.911347,5328,24093,Auckland
-36.888195,174.899659,5636,21800,Auckland
-36.89256,174.924516,5055,23000,Auckland
-36.906888,174.918129,5540,25254,Auckland
-36.726959,174.698001,3618,21994,Auckland
-36.794228,174.701224,2774,16501,Auckland
-36.908107,174.676174,3856,14550,Auckland
-36.884636,174.715537,2855,11152,Auckland
-36.866223,174.758677,1170,3879,Auckland
-36.922123,174.787964,3526,13330,Auckland
-36.908143,174.838595,3883,17566,Auckland
-36.869178,174.82674,1254,6381,Auckland
-36.851308,174.830563,1458,7900,Auckland
-37.06526,174.943323,8350,38463,Auckland
-37.022488,174.899023,7314,31160,Auckland
-36.999136,174.87779,7013,35853,Auckland
-36.979706,174.854074,5492,31545,Auckland
-36.909307,174.677573,3668,14346,Auckland
-36.931649,174.675057,3547,17005,Auckland
-36.840413,174.652539,3208,16360,Auckland
-36.908556,174.942122,5632,26772,Auckland
-37.019107,174.863377,7582,40783,Auckland
-36.957728,174.804936,4898,25178,Auckland
-36.917653,174.887194,4817,20011,Auckland
-36.944234,174.894125,5301,23443,Auckland
