lat,lng,duration,distance,city
-36.75341,174.738535,2453,13761,Auckland
-36.764715,174.733405,2143,13282,Auckland
-36.869384,174.824309,2523,12471,Auckland
-36.891195,174.819639,2904,9292,Auckland
-36.909774,174.757952,2582,9854,Auckland
-36.928187,174.748633,2833,11874,Auckland
-36.915052,174.630895,5433,25718,Auckland
-36.881081,174.730309,2780,7877,Auckland
-36.883888,174.715602,2886,9115,Auckland
-36.871341,174.746846,1872,4562,Auckland
-36.888203,174.752066,2417,7241,Auckland
-36.90574,174.734064,3212,10576,Auckland
-36.887579,174.732961,2874,7937,Auckland
-36.844281,174.624435,3150,17915,Auckland
-36.874462,174.627128,3967,20117,Auckland
-36.878511,174.911347,3441,18799,Auckland
-36.888195,174.899659,3400,17556,Auckland
-36.89256,174.924516,3695,20098,Auckland
-36.906888,174.918129,4014,21983,Auckland
-36.726959,174.698001,4195,21137,Auckland
-36.794228,174.701224,2123,12797,Auckland
-36.908107,174.676174,3976,14550,Auckland
-36.884636,174.715537,2820,9108,Auckland
-36.866223,174.758677,1170,3879,Auckland
-36.922123,174.787964,3562,12207,Auckland
-36.908143,174.838595,4228,21125,Auckland
-36.869178,174.82674,2461,12063,Auckland
-36.851308,174.830563,1466,7900,Auckland
-37.06526,174.943323,4953,30439,Auckland
-37.022488,174.899023,4201,25294,Auckland
-36.999136,174.87779,3841,21052,Auckland
-36.979706,174.854074,6216,31766,Auckland
-36.909307,174.677573,3788,14346,Auckland
-36.931649,174.675057,3647,17005,Auckland
-36.840413,174.652539,3208,16360,Auckland
-36.908556,174.942122,4456,25250,Auckland
-37.019107,174.863377,4605,25983,Auckland
-36.957728,174.804936,4787,23909,Auckland
-36.917653,174.887194,4368,22217,Auckland
-36.944234,174.894125,6377,22474,Auckland
