lat,lng,duration,distance,city
-43.58464,172.508897,2636,15492,Christchurch
-43.590017,172.569161,2372,11190,Christchurch
-43.602402,172.716853,2495,14045,Christchurch
-43.531238,172.530928,3173,13687,Christchurch
-43.514897,172.553727,2059,9960,Christchurch
-43.508775,172.574855,1268,7208,Christchurch
-43.489716,172.544442,1862,10249,Christchurch
-43.473698,172.617146,1602,7928,Christchurch
-43.444412,172.636998,2263,12116,Christchurch
-43.432633,172.650025,2142,13584,Christchurch
-43.473675,172.669969,2686,10716,Christchurch
-43.474927,172.702657,2446,13217,Christchurch
-43.485921,172.720845,2313,11422,Christchurch
-43.495385,172.710766,2071,9586,Christchurch
-43.506262,172.728909,2223,13959,Christchurch
-43.523699,172.732884,2624,16278,Christchurch
-43.51094,172.716877,1774,7648,Christchurch
-43.510391,172.701179,2037,7921,Christchurch
-43.500099,172.687728,1625,7253,Christchurch
-43.507975,172.662185,1212,4571,Christchurch
-43.497648,172.642873,1049,4834,Christchurch
-43.508075,172.645916,848,3294,Christchurch
-43.517584,172.659714,995,3588,Christchurch
-43.517167,172.701524,1601,6395,Christchurch
-43.516633,172.687137,1629,6186,Christchurch
-43.533701,172.673108,1059,3271,Christchurch
-43.547308,172.679055,1347,4637,Christchurch
-43.562376,172.675771,1415,6662,Christchurch
-43.549292,172.659849,1251,4747,Christchurch
-43.557992,172.636871,998,4104,Christchurch
-43.567808,172.63492,1306,5052,Christchurch
-43.558384,172.619946,1674,5853,Christchurch
-43.57008,172.590763,2575,10197,Christchurch
-43.552464,172.568158,3294,13656,Christchurch
-43.53168,172.574332,1682,7138,Christchurch
-43.551946,172.51736,3174,13527,Christchurch
-43.543456,172.525506,2355,11355,Christchurch
-43.520093,172.533952,3396,15292,Christchurch
-43.576125,172.70372,1798,9573,Christchurch
-43.574413,172.763535,2902,13161,Christchurch
-43.512949,172.622398,881,3008,Christchurch
-43.541852,172.614271,1203,3894,Christchurch
-43.531884,172.657639,886,2114,Christchurch
-43.563748,172.660022,1531,5352,Christchurch
-43.479607,172.700085,2179,11439,Christchurch
-43.516836,172.572088,1814,8249,Christchurch
-43.641843,172.47046,3448,23611,Christchurch
-43.58191,172.409637,3588,23767,Christchurch
-43.518595,172.590306,872,5361,Christchurch
