lat,lng,duration,distance,city
-43.58464,172.508897,2696,15492,Christchurch
-43.590017,172.569161,2488,11203,Christchurch
-43.602402,172.716853,2471,14045,Christchurch
-43.531238,172.530928,2964,15554,Christchurch
-43.514897,172.553727,1819,9955,Christchurch
-43.508775,172.574855,1467,7208,Christchurch
-43.489716,172.544442,2134,10249,Christchurch
-43.473698,172.617146,1351,7921,Christchurch
-43.444412,172.636998,1905,12106,Christchurch
-43.432633,172.650025,1774,13588,Christchurch
-43.473675,172.669969,2390,10716,Christchurch
-43.474927,172.702657,2150,13217,Christchurch
-43.485921,172.720845,2013,11422,Christchurch
-43.495385,172.710766,1705,11460,Christchurch
-43.506262,172.728909,2211,9073,Christchurch
-43.523699,172.732884,2381,16278,Christchurch
-43.51094,172.716877,1696,7648,Christchurch
-43.510391,172.701179,2165,7659,Christchurch
-43.500099,172.687728,1361,7253,Christchurch
-43.507975,172.662185,1015,4926,Christchurch
-43.497648,172.642873,979,4834,Christchurch
-43.508075,172.645916,797,3294,Christchurch
-43.517584,172.659714,894,3588,Christchurch
-43.517167,172.701524,1523,6395,Christchurch
-43.516633,172.687137,1990,6343,Christchurch
-43.533701,172.673108,981,3271,Christchurch
-43.547308,172.679055,1327,4637,Christchurch
-43.562376,172.675771,1473,6676,Christchurch
-43.549292,172.659849,1227,4747,Christchurch
-43.557992,172.636871,864,4103,Christchurch
-43.567808,172.63492,1185,5052,Christchurch
-43.558384,172.619946,1550,6476,Christchurch
-43.57008,172.590763,2402,10821,Christchurch
-43.552464,172.568158,3115,14280,Christchurch
-43.53168,172.574332,1382,7135,Christchurch
-43.551946,172.51736,3212,12621,Christchurch
-43.543456,172.525506,2293,11379,Christchurch
-43.520093,172.533952,2802,14021,Christchurch
-43.576125,172.70372,1774,9573,Christchurch
-43.574413,172.763535,2731,13161,Christchurch
-43.512949,172.622398,690,3008,Christchurch
-43.541852,172.614271,946,3894,Christchurch
-43.531884,172.657639,808,2114,Christchurch
-43.563748,172.660022,1486,5352,Christchurch
-43.479607,172.700085,1883,11439,Christchurch
-43.516836,172.572088,1574,8244,Christchurch
-43.641843,172.47046,3508,23611,Christchurch
-43.58191,172.409637,3126,23767,Christchurch
-43.518595,172.590306,1027,5361,Christchurch
