lat,lng,duration,distance,city
-43.58464,172.508897,2936,15492,Christchurch
-43.590017,172.569161,3079,11190,Christchurch
-43.602402,172.716853,2471,14045,Christchurch
-43.531238,172.530928,2533,11762,Christchurch
-43.514897,172.553727,2105,9488,Christchurch
-43.508775,172.574855,1467,7208,Christchurch
-43.489716,172.544442,2991,12966,Christchurch
-43.473698,172.617146,1614,7928,Christchurch
-43.444412,172.636998,2275,12116,Christchurch
-43.432633,172.650025,2156,13597,Christchurch
-43.473675,172.669969,2686,10716,Christchurch
-43.474927,172.702657,2446,13217,Christchurch
-43.485921,172.720845,2313,11422,Christchurch
-43.495385,172.710766,1979,11460,Christchurch
-43.506262,172.728909,2254,13959,Christchurch
-43.523699,172.732884,2655,16278,Christchurch
-43.51094,172.716877,1813,7648,Christchurch
-43.510391,172.701179,2037,7921,Christchurch
-43.500099,172.687728,1625,7253,Christchurch
-43.507975,172.662185,1212,4571,Christchurch
-43.497648,172.642873,1049,4834,Christchurch
-43.508075,172.645916,848,3294,Christchurch
-43.517584,172.659714,1026,3588,Christchurch
-43.517167,172.701524,1640,6395,Christchurch
-43.516633,172.687137,1629,6186,Christchurch
-43.533701,172.673108,1098,3271,Christchurch
-43.547308,172.679055,1347,4637,Christchurch
-43.562376,172.675771,1391,6662,Christchurch
-43.549292,172.659849,1227,4747,Christchurch
-43.557992,172.636871,839,4103,Christchurch
-43.567808,172.63492,1107,5052,Christchurch
-43.558384,172.619946,1727,5382,Christchurch
-43.57008,172.590763,2628,9726,Christchurch
-43.552464,172.568158,3347,13185,Christchurch
-43.53168,172.574332,1710,7135,Christchurch
-43.551946,172.51736,3540,12621,Christchurch
-43.543456,172.525506,2621,11379,Christchurch
-43.520093,172.533952,2937,11214,Christchurch
-43.576125,172.70372,1774,9573,Christchurch
-43.574413,172.763535,2902,13161,Christchurch
-43.512949,172.622398,847,3008,Christchurch
-43.541852,172.614271,1203,3894,Christchurch
-43.531884,172.657639,940,2117,Christchurch
-43.563748,172.660022,1531,5352,Christchurch
-43.479607,172.700085,2179,11439,Christchurch
-43.516836,172.572088,1860,7777,Christchurch
-43.641843,172.47046,3748,23611,Christchurch
-43.58191,172.409637,3676,23767,Christchurch
-43.518595,172.590306,1027,5361,Christchurch
