lat,lng,duration,distance,city
-41.072184,174.860037,3599,26601,Wellington
-41.15544,174.83548,2227,16219,Wellington
-41.178922,174.821848,2180,14573,Wellington
-41.129259,174.832848,3413,20504,Wellington
-41.254657,174.764082,1334,5598,Wellington
-41.213739,174.869182,2508,12169,Wellington
-41.215958,174.894373,1821,13611,Wellington
-41.215184,174.926403,2182,16574,Wellington
-41.14532,175.03054,3399,29515,Wellington
-41.155545,174.978026,3702,25570,Wellington
-41.282153,174.73967,978,5179,Wellington
-41.281322,174.751049,676,4132,Wellington
-41.282902,174.760791,716,2085,Wellington
-41.269324,174.755727,1235,6039,Wellington
-41.262098,174.771132,1010,3200,Wellington
-41.26471,174.781603,721,2072,Wellington
-41.275388,174.772378,790,914,Wellington
-41.27542,174.76255,1840,3193,Wellington
-41.289481,174.75813,678,2841,Wellington
-41.288417,174.764653,753,2632,Wellington
-41.292577,174.758859,1184,3348,Wellington
-41.283031,174.771004,853,753,Wellington
-41.286901,174.773237,848,981,Wellington
-41.295704,174.766499,1352,2481,Wellington
-41.30436,174.777654,2479,3187,Wellington
-41.302029,174.773721,1193,3047,Wellington
-41.292637,174.786935,1676,2094,Wellington
-41.297614,174.787135,2114,2671,Wellington
-41.289274,174.802318,3019,3830,Wellington
-41.291374,174.794803,2160,2803,Wellington
-41.298913,174.803242,2144,5267,Wellington
-41.304154,174.794271,1055,3994,Wellington
-41.306631,174.763274,1323,4253,Wellington
-41.315654,174.769062,2238,5268,Wellington
-41.293995,174.745244,1865,6328,Wellington
-41.345142,174.768771,3162,8957,Wellington
-41.340982,174.785529,3275,9753,Wellington
-41.332269,174.782759,2479,7128,Wellington
-41.325314,174.832745,2429,11549,Wellington
-41.317875,174.818772,2147,8218,Wellington
-41.302651,174.820633,2070,12682,Wellington
-41.220619,174.807044,1257,9490,Wellington
-41.250606,174.774322,1475,6319,Wellington
-41.25122,174.794796,2133,5269,Wellington
-41.319761,174.798538,1606,6072,Wellington
-41.313123,174.783613,1573,5092,Wellington
-41.288732,174.72348,1131,6636,Wellington
-41.262277,174.947742,3148,21809,Wellington
-41.296066,174.776434,802,2330,Wellington
